Date,state,LaborForce,UnemploymentRate
2000-01-01,Alabama,2142945.0,4.7
2000-01-01,Alaska,319059.0,6.3
2000-01-01,Arizona,2499980.0,4.1
2000-01-01,Arkansas,1264619.0,4.4
2000-01-01,California,16680246.0,5.0
2000-01-01,Colorado,2354671.0,2.8
2000-01-01,Connecticut,1768421.0,2.8
2000-01-01,Delaware,405052.0,3.5
2000-01-01,Florida,7766891.0,3.7
2000-01-01,Georgia,4198288.0,3.7
2000-01-01,Hawaii,606200.0,4.7
2000-01-01,Idaho,654084.0,4.6
2000-01-01,Illinois,6516094.0,4.2
2000-01-01,Indiana,3140872.0,3.2
2000-01-01,Iowa,1590191.0,2.4
2000-01-01,Kansas,1419915.0,3.4
2000-01-01,Kentucky,1968042.0,4.2
2000-01-01,Louisiana,2045788.0,5.1
2000-01-01,Maine,681087.0,3.6
2000-01-01,Maryland,2782556.0,3.4
2000-01-01,Massachusetts,3343974.0,3.0
2000-01-01,Michigan,5164918.0,3.3
2000-01-01,Minnesota,2789080.0,3.0
2000-01-01,Mississippi,1316659.0,5.4
2000-01-01,Missouri,2934571.0,3.1
2000-01-01,Montana,467085.0,5.1
2000-01-01,Nebraska,942509.0,2.8
2000-01-01,Nevada,1043367.0,3.9
2000-01-01,New Hampshire,681930.0,2.7
2000-01-01,New Mexico,839640.0,5.1
2000-01-01,New York,9148772.0,4.7
2000-01-01,New jersey,4292278.0,3.8
2000-01-01,North Carolina,4106947.0,3.3
2000-01-01,North Dakota,342007.0,3.1
2000-01-01,Ohio,5791423.0,4.1
2000-01-01,Oklahoma,1661302.0,3.2
2000-01-01,Oregon,1812342.0,5.0
2000-01-01,Pennsylvania,6086807.0,4.1
2000-01-01,Rhode island,542387.0,4.0
2000-01-01,South Carolina,1995253.0,4.0
2000-01-01,South Dakota,409296.0,2.4
2000-01-01,Tennessee,2852337.0,3.7
2000-01-01,Texas,10352120.0,4.6
2000-01-01,Utah,1128581.0,3.1
2000-01-01,Vermont,329193.0,2.7
2000-01-01,Virginia,3587812.0,2.6
2000-01-01,Washington,3076825.0,4.9
2000-01-01,West Virginia,808244.0,5.8
2000-01-01,Wisconsin,2960235.0,3.2
2000-01-01,Wyoming,265024.0,4.1
2000-02-01,Alabama,2142351.0,4.7
2000-02-01,Alaska,319147.0,6.3
2000-02-01,Arizona,2502752.0,4.1
2000-02-01,Arkansas,1265218.0,4.3
2000-02-01,California,16732795.0,5.0
2000-02-01,Colorado,2356780.0,2.8
2000-02-01,Connecticut,1769105.0,2.7
2000-02-01,Delaware,406611.0,3.6
2000-02-01,Florida,7789735.0,3.7
2000-02-01,Georgia,4205995.0,3.6
2000-02-01,Hawaii,606306.0,4.6
2000-02-01,Idaho,655120.0,4.6
2000-02-01,Illinois,6518962.0,4.2
2000-02-01,Indiana,3142328.0,3.3
2000-02-01,Iowa,1589626.0,2.4
2000-02-01,Kansas,1418845.0,3.4
2000-02-01,Kentucky,1968722.0,4.1
2000-02-01,Louisiana,2046066.0,5.1
2000-02-01,Maine,681766.0,3.5
2000-02-01,Maryland,2787422.0,3.4
2000-02-01,Massachusetts,3340208.0,2.9
2000-02-01,Michigan,5168728.0,3.2
2000-02-01,Minnesota,2794851.0,3.0
2000-02-01,Mississippi,1320936.0,5.5
2000-02-01,Missouri,2941758.0,3.2
2000-02-01,Montana,467691.0,5.0
2000-02-01,Nebraska,943486.0,2.8
2000-02-01,Nevada,1047435.0,3.9
2000-02-01,New Hampshire,683233.0,2.7
2000-02-01,New Mexico,840470.0,5.0
2000-02-01,New York,9150933.0,4.7
2000-02-01,New jersey,4292831.0,3.7
2000-02-01,North Carolina,4113878.0,3.3
2000-02-01,North Dakota,341842.0,3.0
2000-02-01,Ohio,5793274.0,4.1
2000-02-01,Oklahoma,1661119.0,3.1
2000-02-01,Oregon,1815669.0,5.0
2000-02-01,Pennsylvania,6090752.0,4.0
2000-02-01,Rhode island,542778.0,4.0
2000-02-01,South Carolina,1996183.0,3.9
2000-02-01,South Dakota,409464.0,2.4
2000-02-01,Tennessee,2852381.0,3.7
2000-02-01,Texas,10363975.0,4.6
2000-02-01,Utah,1130836.0,3.1
2000-02-01,Vermont,329551.0,2.6
2000-02-01,Virginia,3594384.0,2.5
2000-02-01,Washington,3075359.0,4.9
2000-02-01,West Virginia,808465.0,5.6
2000-02-01,Wisconsin,2963260.0,3.2
2000-02-01,Wyoming,265306.0,3.9
2000-03-01,Alabama,2140697.0,4.6
2000-03-01,Alaska,319291.0,6.3
2000-03-01,Arizona,2503992.0,4.0
2000-03-01,Arkansas,1264912.0,4.3
2000-03-01,California,16778343.0,5.0
2000-03-01,Colorado,2357991.0,2.7
2000-03-01,Connecticut,1768741.0,2.6
2000-03-01,Delaware,408297.0,3.6
2000-03-01,Florida,7807619.0,3.7
2000-03-01,Georgia,4213192.0,3.6
2000-03-01,Hawaii,606226.0,4.5
