,id,ob_date,location,location_desc,location_coords,location_coords_type,location_elevation,location_province,num_involved,num_injured,num_fatal,comment,group_activity,avalanche_obs,weather_obs,weather_comment,snowpack_obs,snowpack_comment,documents,alt_coord
0,ba14a125-29f7-4432-97ad-73a53207a5e7,2021-04-05,Haddo Peak,Approximately 6km SW of Lake Louise Village,"[51.38329, -116.23453]",Lat/lng,2950.0,AB,2.0,0.0,1,"A party of two people were ski touring up the NE face of Haddo Peak. At 08:55 a.m. they triggered a size 2 avalanche, which released at an elevation of 2950 metres on an east facing, shallow snowpack area and appears to have failed near the ground either on a sun crust or on basal facets. The avalanche was approximately 40 metres wide and the fracture line was 40-60 centimetres deep.

Both members of the party were caught in the avalanche, but one managed to arrest themselves and escape the flow. The second member of the party was carried 600 metres through extreme terrain. The survivor was able to descend, locate and then extricate their partner, who unfortunately was deceased.",Skiing,"[{'size': '2.0', 'type': 'S', 'trigger': 'Sa', 'aspect': 'E', 'elevation': 2950, 'slab_width': 40, 'slab_thickness': 50}]","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}",,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,"[{'date': '2021-04-05', 'title': 'Overview photo', 'source': 'Banff Park Visitor Safety', 'url': '/public/document/1638afcd-2bbc-48d7-a32a-830ae738ee2e/2021/4/5/ba14a125-29f7-4432-97ad-73a53207a5e7/2021-04-05_Haddo_Peak_Overview.jpg'}]","[-116.2366667, 51.3833334]"
1,59023c05-b679-4e9f-9c06-910021318663,2021-03-29,Eureka Peak,Approximately 100km east of Williams Lake,"[52.33517, -120.69033]",Lat/lng,2170.0,BC,1.0,0.0,1,"A group of snowmobilers rode to the upper reaches of Eureka Mountain, where one walked to the edge of the ridge and triggered a cornice failure. The person on the ridge fell with the cornice, which triggered a slab avalanche in steep terrain below the ridgecrest, and then entrained loose dry snow on more moderate slopes lower down. The person caught was carried approximately 300 vertical metres/400 linear metres downslope and was buried on the lower slopes approximately 20-115 centimetres below the surface near the right flank of the debris field.

On the day of the incident rescue efforts were hampered by rugged terrain, concerns about overhead hazard, and loss of daylight. A SAR team with support from an avalanche technician carried out a recovery mission the following day.",Snowmobiling,"[{'size': '2.5', 'type': 'CS', 'trigger': 'Sa', 'aspect': 'E', 'elevation': 2170, 'slab_width': 50, 'slab_thickness': None}]","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}",,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,"[{'date': '2021-04-01', 'title': 'Overview', 'source': 'SAR', 'url': '/public/document/450674d9-e16f-4a81-955b-6cd00802397d/2021/3/29/59023c05-b679-4e9f-9c06-910021318663/DSC00096.jpg'}]","[-120.638333, 52.308889]"
2,10774b2d-b7de-42ac-a600-9828cb4e6129,2021-03-04,Reco Mountain,Approximately 13km east of New Denver,"[49.99979, -117.18904]",Lat/lng,2465.0,BC,1.0,0.0,1,"A group of five snowmobilers was riding in Antoine Basin near Reco Mountain. Late in the day one of the five triggered and was caught in an avalanche. The other members of the party were located in a safe spot at the side of the slope and were not affected by the avalanche.

The slide ran 150-200m downslope onto a flat bench that acted as a terrain trap resulting in a burial depth of over 300cm. The unaffected group members carried out a companion rescue but unfortunately the person caught in the avalanche did not survive.",Snowmobiling,"[{'size': '3.0', 'type': 'S', 'trigger': 'Ma', 'aspect': 'W', 'elevation': 2465, 'slab_width': 125, 'slab_thickness': 85}]","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}",,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,"[{'date': '2021-03-05', 'title': 'Scene Overview', 'source': 'SAR', 'url': '/public/document/da743378-943a-42c9-9fad-62fd9ab94847/2021/3/4/10774b2d-b7de-42ac-a600-9828cb4e6129/reco_mountain_incident_scene.jpg'}]","[-117.184444, 49.998333]"
3,4f79d4db-57b3-4843-909f-eaca3c499e7c,2021-02-23,Swift Creek,Approximately 16km NE of Valemount,"[52.917303, -119.081732]",Lat/lng,1950.0,BC,3.0,0.0,1,"Three skiers were caught in an avalanche estimated to be 400 metres wide and 50-140cm deep. The slide ran approximately 800 metres, nearly to valley bottom. The avalanche was likely remotely triggered from below the start zone after whumphing was reported to have occurred. Two people were partially buried and able to self rescue but could not locate the third person who was fully buried. Due to failing light SAR teams were not able to locate the missing skier on the day this incident occurred. The recovery mission found the deceased third skier the following day.",Skiing,"[{'size': '3.5', 'type': 'S', 'trigger': 'Sr', 'aspect': 'SE', 'elevation': 2200, 'slab_width': 400, 'slab_thickness': 95}]","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}",,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,"[{'date': '2021-02-25', 'title': 'Overview with fracture lines marked', 'source': 'Halik', 'url': '/public/document/59588b24-79a8-415f-8d1c-95118070dd05/2021/2/23/4f79d4db-57b3-4843-909f-eaca3c499e7c/Overview-public.jpg'}]","[-114.869722, 50.159722]"
4,a6115fd5-b330-4424-b400-4bc218f387e1,2021-02-20,Hasler,Approximately 55km SW of Chetwynd,"[55.3377373, -122.256577]",Lat/lng,1420.0,BC,1.0,0.0,1,"One of a group of snowmobilers was caught in an avalanche estimated to be 50-100 cm deep, 100-200 metres wide, and 150-250 metres long. While unconfirmed, the January 24th persistent weak layer that exists in much of the North Rockies region is the suspected failure layer. Very stormy weather hampered the SAR response, which was unable to access the scene until about 24 hours after the incident occurred.

No on-site investigation was possible and the data contained in this report are based on observations made during an overflight of the location during the recovery mission. This report may be updated if more information is received.",Snowmobiling,"[{'size': '2.5', 'type': 'S', 'trigger': 'Ma', 'aspect': 'NE', 'elevation': 1600, 'slab_width': 100, 'slab_thickness': 75}]","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}",,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,[],"[-121.967778, 55.605556]"
5,fcc48775-35f2-4236-9d76-80dcd933f6f9,2021-02-13,Brandywine Bowl,Approximately 17km W of Whistler Village,"[50.0992, -123.1899]",Lat/lng,1700.0,BC,1.0,0.0,1,"A party of two were near ridgecrest around treeline in the Brandywine valley. One entered a slope below and was caught in a small wind slab. The person caught was carried several hundred metres over steep, rugged terrain and through treed slopes below. Other parties in the area provided assistance but unfortunately the person caught did not survive. SAR efforts were complicated by the difficult terrain and concerns about additional hazard that necessitated a long-line rescue.",Skiing/Snowboarding,"[{'size': '1.0', 'type': 'S', 'trigger': 'Sa', 'aspect': 'SW', 'elevation': 1700, 'slab_width': None, 'slab_thickness': None}]","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}",,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,[],"[None, None]"
6,17bcbc38-ccf8-4f32-ab5e-7b32315690af,2021-02-12,Phalanx Mountain,Approximately 6km NE of Whislter Village,"[50.108528, -122.875611]",Lat/lng,2200.0,BC,2.0,1.0,1,A party of three skiers were on the flank of Phalanx Mountain above Blackcomb Glacier/Creek. At approximately 2200m two were caught in what is reported as a wind slab that was approximately 50cm thick and 60-80m wide. The slide ran 650m to approximately 1700m and both subjects were fully buried. One person was recovered near the toe of the slide with injuries. The second was found higher in the path but did not survive.,Skiing,"[{'size': '2.5', 'type': 'S', 'trigger': 'Sa', 'aspect': 'W', 'elevation': 2200, 'slab_width': 70, 'slab_thickness': 50}]","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}",,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,[],"[-122.858333, 50.098056]"
7,e378a68a-bdc1-4935-9e1f-eb855f5e3f0e,2020-12-28,Railroad Pass,"Above Hurley FSR approx 1km SE of Railroad Pass, 20km NNW of Pemberton","[50.594472, -123.008611]",Lat/lng,1650.0,BC,2.0,0.0,2,"A party of four were riding snow bikes near Railroad Pass. Two riders went ahead and were caught in an avalanche, which was not observed by the others. The avalanche occurred on a relatively small slope in an open glade at treeline elevation with an incline of about 35 degrees. The avalanche was approximately 150 m wide by 150 m long.

The survivors and other users in the area noticed an avalanche crown with signs of human involvement and the party was reported missing late on December 28, but darkness prevented SAR operations that day. The following morning, RCMP and SAR teams using transceivers and rescue dogs located the two subjects buried about 50-100 cm below the surface in a terrain trap.",Snow Biking,"[{'size': '2.0', 'type': 'S', 'trigger': 'Ma', 'aspect': 'W', 'elevation': 1650, 'slab_width': 150, 'slab_thickness': 70}]","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}",,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}","Snowpack investigation at the site of the avalanche showed no result with a compression test. There was an indistinct, rounding layer of surface hoar at the level of the bed surface.","[{'date': '2020-12-29', 'title': 'Path 3', 'source': 'PemSAR', 'url': '/public/document/2a6736cc-9ff8-4a1a-b9ab-c856d8fa58be/2020/12/28/e378a68a-bdc1-4935-9e1f-eb855f5e3f0e/railroad_pass_C.jpg'}, {'date': '2020-12-29', 'title': 'Path 4', 'source': 'PemSAR', 'url': '/public/document/c2bf5c9c-037f-453e-9e0e-167b78317be8/2020/12/28/e378a68a-bdc1-4935-9e1f-eb855f5e3f0e/railroad_pass_D.jpg'}, {'date': '2020-12-29', 'title': 'Path 2', 'source': 'PemSAR', 'url': '/public/document/d6819ac1-ac4a-46c2-bef0-b2ca6239d841/2020/12/28/e378a68a-bdc1-4935-9e1f-eb855f5e3f0e/railroad_pass_B.jpg'}, {'date': '2020-12-29', 'title': 'RCMP Release', 'source': 'RCMP', 'url': '/public/document/d573a084-7754-4418-a9cd-72adf5505fbe/2020/12/28/e378a68a-bdc1-4935-9e1f-eb855f5e3f0e/RCMP_News_Release.jpg'}, {'date': '2020-12-29', 'title': 'Path', 'source': 'PemSAR', 'url': '/public/document/aefaa73d-7c17-4ba2-9de2-857290d6308f/2020/12/28/e378a68a-bdc1-4935-9e1f-eb855f5e3f0e/railroad_pass_E.jpg'}, {'date': '2020-12-29', 'title': 'Fracture line', 'source': 'PemSAR', 'url': '/public/document/8166ac8d-f073-4a23-bee8-cab181420370/2020/12/28/e378a68a-bdc1-4935-9e1f-eb855f5e3f0e/railroad_pass_A.jpg'}]","[-123.01667, 50.6]"
8,c197647d-f62e-429f-8a5e-3e86b86fe352,2020-11-28,Pine Pass - Bijou Falls,"Approximately 20 km east of Mackenzie, BC","[55.29895, -122.725371]",Lat/lng,1680.0,BC,1.0,0.0,1,"Several days of stormy weather with warm temperatures and winds dropped significant amounts of new snow in the days leading up to the accident. Skies broke and temperatures cooled on the morning of November 28th and SW winds strong enough to move new snow were recorded in the region. 
Two snowmobilers were riding in the Bijou Falls riding area towards the east side in a portion of terrain overlooking highway 97. One rider climbed high on the slope gaining a wind-exposed ridge above a rock band.
The rider triggered a large avalanche, approximately 800 metres wide by 400 metres long. The crown was 55cm deep on the steep, rocky, windswept roll where the avalanche was triggered, but significantly more snow was involved at lower elevations where the snowpack was sheltered from wind and much deeper. The bed surface was a crust that formed in early November and the suspected failure layer was faceted grains on the crust.
The snowmobiler was caught in the avalanche and buried in a terrain trap near the base of the slide. Their partner, who was watching from below and was not caught by the avalanche, performed companion rescue to locate and dig out the victim. The buried person did not survive.",Snowmobiling,"[{'size': '3.0', 'type': 'S', 'trigger': 'Ma', 'aspect': 'NE', 'elevation': 1680, 'slab_width': 800, 'slab_thickness': 55}]","{'temp_present': -6.0, 'temp_max': None, 'temp_min': None, 'temp_trend': 'R', 'wind_speed': 'L', 'wind_dir': None, 'sky': None, 'precip': 'NIL'}",Weather recordings were taken from Link Creek Weather station (730 m) approximately 10 km north of incident location.,"{'hs': 160, 'hn24': None, 'hst': None, 'hst_reset': None}","100 cm 1F+ to P resistance snow overlay a thick (20 cm) weaker layer (4F resistance) resting on a crust (I resistance). Compression tests yielded sudden planar failures down 110 cm in the easy/moderate range (one test gave 7 taps, one test gave 11 taps). In the snow profile, the snow failed on facets above the crust, which is consistent with the failure plane of the avalanche. The profile location was adjacent to the avalanche flank.","[{'date': '2020-11-29', 'title': 'Profile by SAR team', 'source': 'PG SAR', 'url': '/public/document/983c80f9-9162-418d-b063-3ee0dec6f2c2/2020/11/28/c197647d-f62e-429f-8a5e-3e86b86fe352/2020-11-29_Pine_Pass-Bijou_Fatal_snow_profile.jpg'}, {'date': '2020-12-10', 'title': 'Google Earth image, annotated', 'source': 'Avalanche Canada', 'url': '/public/document/9ae102de-1d27-4f13-b122-fbe8e7acbec7/2020/11/28/c197647d-f62e-429f-8a5e-3e86b86fe352/2020-10-28_Pine_Pass-Bijou_Fatal_GE_screenshot_overview_annotated.jpg'}]","[None, None]"
9,dd556e1a-90f6-46a9-a31b-02508504f2d7,2020-03-14,Brunswick Mountain,Approximately 4km NE of Lions Bay British Columbia,"[49.488248, -123.205318]",Lat/lng,1500.0,BC,1.0,0.0,1,A snowshoer left on a solo hike March 14 and was reported missing March 17. Initial SAR effort March 18 found tracks leading into avalanche debris on the west face of Brunswick Mountain. The subject was recovered March 20 using search dogs and Recco dectectors. It's suspected that a wind slab was triggered by the subject on March 14.,Snowshoeing,"[{'size': '2.0', 'type': 'S', 'trigger': 'Sa', 'aspect': 'W', 'elevation': 1500, 'slab_width': 125, 'slab_thickness': 90}]","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}",,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,[],"[-123.201389, 49.487777]"
