density_log,density_lvls,wages_logs,wages_lvls,group,demo,year
2.03,7.59,2.22,9.23,college,all,1950.0
3.12,22.54,2.18,8.89,college,all,1950.0
3.48,32.44,2.23,9.32,college,all,1950.0
3.73,41.86,2.19,8.92,college,all,1950.0
3.93,50.9,2.16,8.68,college,all,1950.0
4.14,62.52,2.23,9.27,college,all,1950.0
4.32,75.08,2.25,9.52,college,all,1950.0
4.49,89.44,2.25,9.52,college,all,1950.0
4.73,112.93,2.31,10.04,college,all,1950.0
4.88,130.99,2.36,10.63,college,all,1950.0
5.02,151.3,2.33,10.3,college,all,1950.0
5.22,184.2,2.35,10.5,college,all,1950.0
5.58,266.36,2.37,10.72,college,all,1950.0
5.88,359.58,2.45,11.55,college,all,1950.0
6.2,492.6,2.52,12.39,college,all,1950.0
6.46,641.9,2.45,11.61,college,all,1950.0
6.69,803.46,2.34,10.33,college,all,1950.0
7.04,1139.38,2.55,12.77,college,all,1950.0
8.38,4357.12,2.51,12.31,college,all,1950.0
1.91,6.73,2.76,15.76,college,all,1980.0
3.06,21.31,2.75,15.61,college,all,1980.0
3.43,30.8,2.76,15.78,college,all,1980.0
3.72,41.17,2.72,15.16,college,all,1980.0
3.94,51.23,2.76,15.8,college,all,1980.0
4.14,63.04,2.77,15.96,college,all,1980.0
4.31,74.75,2.84,17.19,college,all,1980.0
4.48,88.47,2.83,16.91,college,all,1980.0
4.73,113.07,2.89,17.93,college,all,1980.0
4.87,129.71,2.89,17.96,college,all,1980.0
4.97,143.78,2.94,18.94,college,all,1980.0
5.05,155.33,2.85,17.35,college,all,1980.0
5.15,172.46,2.88,17.8,college,all,1980.0
5.46,235.5,2.94,18.91,college,all,1980.0
5.77,320.5,2.97,19.46,college,all,1980.0
6.14,462.92,3.03,20.69,college,all,1980.0
6.45,635.76,2.97,19.46,college,all,1980.0
6.8,895.73,3.0,20.01,college,all,1980.0
7.07,1176.58,3.05,21.05,college,all,1980.0
8.38,4357.12,3.04,20.92,college,all,1980.0
1.71,5.54,2.88,17.74,college,all,2000.0
2.98,19.77,2.94,18.9,college,all,2000.0
3.35,28.54,2.9,18.14,college,all,2000.0
3.65,38.36,2.89,17.96,college,all,2000.0
3.87,47.97,2.9,18.24,college,all,2000.0
4.09,59.98,2.94,18.83,college,all,2000.0
4.26,70.95,2.95,19.17,college,all,2000.0
4.42,83.47,3.04,20.96,college,all,2000.0
4.64,103.28,3.04,20.96,college,all,2000.0
4.82,124.07,3.06,21.42,college,all,2000.0
4.93,138.11,3.03,20.7,college,all,2000.0
4.98,145.04,3.16,23.65,college,all,2000.0
5.08,161.19,3.08,21.7,college,all,2000.0
5.2,181.15,3.07,21.45,college,all,2000.0
5.58,266.11,3.09,22.07,college,all,2000.0
5.9,366.31,3.18,24.13,college,all,2000.0
6.35,573.36,3.24,25.46,college,all,2000.0
6.65,771.7,3.19,24.21,college,all,2000.0
7.04,1139.71,3.26,26.09,college,all,2000.0
8.38,4357.12,3.28,26.6,college,all,2000.0
1.63,5.08,2.92,18.5,college,all,2015.0
2.95,19.1,2.95,19.16,college,all,2015.0
3.32,27.7,2.92,18.61,college,all,2015.0
3.61,37.08,2.92,18.54,college,all,2015.0
3.85,46.86,2.93,18.68,college,all,2015.0
4.06,58.16,2.95,19.1,college,all,2015.0
4.24,69.17,2.97,19.4,college,all,2015.0
4.4,81.46,3.07,21.52,college,all,2015.0
4.6,99.87,3.07,21.62,college,all,2015.0
4.79,120.84,3.04,20.85,college,all,2015.0
4.89,133.37,3.12,22.57,college,all,2015.0
4.98,144.86,3.12,22.54,college,all,2015.0
5.08,160.73,3.07,21.48,college,all,2015.0
5.14,170.8,3.08,21.86,college,all,2015.0
5.44,230.7,3.09,22.07,college,all,2015.0
5.79,325.42,3.2,24.42,college,all,2015.0
6.21,497.63,3.25,25.8,college,all,2015.0
6.63,754.26,3.23,25.31,college,all,2015.0
7.04,1139.44,3.27,26.39,college,all,2015.0
8.38,4357.12,3.31,27.44,college,all,2015.0
2.03,7.59,1.96,7.07,noncollege,all,1950.0
3.12,22.54,1.9,6.66,noncollege,all,1950.0
3.48,32.44,1.83,6.23,noncollege,all,1950.0
3.73,41.86,1.77,5.86,noncollege,all,1950.0
3.93,50.9,1.79,5.96,noncollege,all,1950.0
4.14,62.52,1.83,6.22,noncollege,all,1950.0
4.32,75.08,1.92,6.85,noncollege,all,1950.0
4.49,89.44,1.96,7.09,noncollege,all,1950.0
4.73,112.93,2.08,8.01,noncollege,all,1950.0
4.88,130.99,2.09,8.08,noncollege,all,1950.0
5.02,151.3,2.05,7.74,noncollege,all,1950.0
